time,city,area,current_speed,free_speed,confidence,lat,lon
2026-03-31 18:52:59.552319,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:05.457468,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:11.260468,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:12.804015,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:14.759491,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:16.371688,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:17.944574,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:19.561677,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:21.050504,Delhi,Connaught Place,18,24,1,28.6315,77.2167
2026-03-31 18:53:22.717949,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:24.270042,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:25.819404,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:27.425520,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:28.992605,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:30.548432,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:32.097047,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:33.607100,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:35.280016,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:37.152513,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:38.796572,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:40.391124,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:42.369301,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:44.230767,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:46.013287,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:47.855067,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:49.764404,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:51.468770,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:53.134499,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:54.822786,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:56.554466,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:58.238946,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:53:59.821281,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:01.540077,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:03.134380,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:04.718334,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:06.294898,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:07.864626,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:09.440647,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:10.994254,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:12.596301,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:14.286029,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:15.933927,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:17.534894,Delhi,Connaught Place,16,23,1,28.6315,77.2167
2026-03-31 18:54:19.127144,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:54:21.059527,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:54:22.685736,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:54:24.396574,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:54:26.186915,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:54:28.023406,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:54:34.708702,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:54:37.798532,Delhi,Connaught Place,15,23,1,28.6315,77.2167
2026-03-31 18:54:39.458996,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:41.602741,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:43.394839,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:45.260550,Delhi,Connaught Place,16,22,1,28.6315,77.2167
2026-03-31 18:54:47.145214,Delhi,Connaught Place,16,22,1,28.6315,77.2167
